id,iso3,cntry,name,value,local_I,z_sim,p_raw,p_fdr,quadrant,cluster_raw,cluster_fdr,gistar_z,gistar_p_fdr,gistar_cluster
214008,DOM,Dominican Republic,"El Seibo, Hato Mayor",0.3,0.7217544657277997,2.2842030730154312,0.005,0.023699324324324325,Low-Low,Low-Low,Low-Low,-1.0648861756543988,0.023619528091591013,Cold-Spot
214009,DOM,Dominican Republic,Espaillat,0.185,1.0458561997237148,1.6432122115369259,0.055,0.12629296235679216,Low-Low,Not-Significant,Not-Significant,-0.8588867517370592,0.12379412085816167,Not-Significant
214011,DOM,Dominican Republic,"La Altagracia, La Romana",0.235,1.2923841812667614,1.7547450063476817,0.033,0.08433333333333333,Low-Low,Low-Low,Not-Significant,-1.1699143283299793,0.08207678634816376,Not-Significant
214013,DOM,Dominican Republic,"Monseñor Nouel, La Vega",0.283,0.6227935663044032,2.500814824791197,0.006,0.026639240506329116,Low-Low,Low-Low,Low-Low,-0.8431099906055344,0.026639240737886555,Cold-Spot
214014,DOM,Dominican Republic,María Trinidad Sánchez,0.272,0.8894537888157307,1.9582664529049627,0.018,0.0555032967032967,Low-Low,Low-Low,Not-Significant,-1.0324311241838333,0.05312027014742184,Not-Significant
214015,DOM,Dominican Republic,Monte Cristi,0.264,0.4091803469708208,1.0368207440111032,0.152,0.24069525959367946,Low-Low,Not-Significant,Not-Significant,-0.5410977060877716,0.24096722389008365,Not-Significant
214016,DOM,Dominican Republic,Pedernales,0.267,-0.23342603408169882,-0.39112422457925466,0.366,0.4233289365210222,Low-High,Not-Significant,Not-Significant,-0.09258692534870566,0.4233289326603316,Not-Significant
214017,DOM,Dominican Republic,"San José de Ocoa, Peravia",0.266,0.6248935634916872,1.3132719291390977,0.105,0.19107003891050583,Low-Low,Not-Significant,Not-Significant,-0.7670434637213963,0.18925032815889936,Not-Significant
214018,DOM,Dominican Republic,"Puerto Plata, Santiago",0.294,0.6303515081995478,2.314066327803949,0.006,0.026639240506329116,Low-Low,Low-Low,Low-Low,-0.9203839226783095,0.026639240737886555,Cold-Spot
214019,DOM,Dominican Republic,Hermanas Mirabal,0.273,0.7690445101563228,1.708897413506946,0.042,0.10230208333333334,Low-Low,Low-Low,Not-Significant,-0.9242476192819481,0.10212478198537174,Not-Significant
214020,DOM,Dominican Republic,Samaná,0.22,0.8242268376356915,1.3798151137930224,0.085,0.16725806451612904,Low-Low,Not-Significant,Not-Significant,-0.8025411762673271,0.16725806627542741,Not-Significant
214021,DOM,Dominican Republic,"San Cristóbal, Monte Plata",0.293,0.6474707184598633,2.713471947530802,0.004,0.02040727272727273,Low-Low,Low-Low,Low-Low,-0.9452833007906485,0.02040727369656617,Cold-Spot
