iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
CYP,0.0,0.0,,,0.17471298301825397,0.15392387568022778,0.358536409234039,0.4250405510867782,0.0,0.0,0.171,0.25487499999999386,0.0,0.0,0.00014724482839351477,9.551500345644963e-05
CZE,0.0,0.0,,,0.06698043324602193,0.06591838494313385,0.263808553766165,0.40704315377621536,0.0,0.0,0.085,0.32062500000000077,0.0,0.0,0.001384682368536789,0.0015708070209801913
DEU,0.0,0.0,,,0.1262925440457084,0.10355827045241442,0.301488835582132,0.382612020595005,0.0,0.0,0.072,0.29483928571428536,0.0,0.0,7.782884534094919e-05,5.6083866361873245e-05
DJI,0.08299999999999996,0.08299999999999996,,,0.13269537152547825,0.12305692796201691,0.501747234319754,0.5004586557149073,0.0025669064157258954,0.002532973515895652,0.117,0.33019642857142706,0.0,0.0,0.036022253367353395,0.03469183914162333
DMA,,,,,0.0,0.2687383543397491,0.439077888052177,0.4617968638688884,0.0,0.0,0.094,0.3349464285714298,0.0,0.0,0.027188278830904012,0.02201046542683359
DNK,0.0,0.0,,,0.05153118826326018,0.04185954008948971,0.347435104310872,0.5004778809529246,0.0,0.0,0.062,0.2859999999999997,0.0,0.0,0.00010038494279396728,4.4915080233547975e-05
DOM,0.07799999999999996,0.07799999999999996,0.3299148364302825,0.3299148364302825,0.093433968432623,0.08948006199118692,0.432859946020172,0.4699645898986069,0.0,0.0,0.079,0.220392857142855,0.0,0.0,0.0017869086104755376,0.001503170305327465
DZA,0.0040000000000000036,0.0040000000000000036,0.18751909244994575,0.18751909244994575,0.003989549519775022,0.004090658557593028,0.367352335364758,0.3803243521302119,0.0016234352967473106,0.0015139725927669709,0.063,0.22641071428571335,0.0,0.0,0.003627523448600372,0.0031794410754742938
ECU,0.128,0.128,0.139050125,0.139050125,0.021474592508672778,0.0258997319154732,0.461330351743818,0.3980376839007579,0.024372117459490177,0.025274621852982803,0.13,0.3302678571428567,0.0,0.0,0.0056607275529214065,0.004288919352114962
EGY,0.005999999999999894,0.005999999999999894,0.0725,0.0725,0.00029876454820527694,0.0002656638068424912,0.411320703435466,0.3721749063828943,0.013532036835491397,0.01194585757248665,0.079,0.2888749999999988,0.0,0.0,0.004145419781373427,0.004133531933244933
