GEOLEVEL1,gdis_events,gdis_years
218019,7,5
218021,14,9
222001,15,9
222002,5,4
222003,12,8
222004,6,5
222005,18,12
222006,13,10
222007,6,4
222008,10,7
222009,5,4
222010,11,8
222011,15,10
222012,16,11
222013,7,4
222014,11,7
231001,16,15
231002,17,14
231003,23,17
231004,84,28
231006,2,1
231007,23,15
231012,13,10
231013,1,1
231014,4,4
231015,4,3
242001,24,16
242003,10,7
242004,36,22
250001,1,1
250002,7,2
250003,1,1
250004,4,4
250011,17,13
250021,11,8
250022,10,5
250023,8,5
250024,2,2
250025,23,16
250026,14,13
250031,14,9
250041,11,9
250042,3,3
250043,3,3
250052,11,8
250053,27,18
250054,8,5
250072,16,10
250073,13,8
250074,12,10
250082,35,22
250083,5,5
250091,42,19
250093,40,25
250094,11,9
275001,1,1
275025,1,1
275030,4,3
275035,1,1
275040,2,2
275050,2,2
275065,4,4
275070,2,2
275075,2,2
276001,8,6
276002,10,9
276003,23,9
276005,28,14
276006,13,7
276007,10,8
276008,18,14
276009,30,19
276010,7,6
276011,18,9
276012,5,4
276013,6,5
276014,13,9
276015,14,11
276016,12,10
288001,7,4
288002,7,4
288003,13,10
288004,5,5
288005,7,6
288006,2,2
288007,3,3
288008,21,7
288009,7,3
288010,3,3
300001,1,1
300004,1,1
300005,2,1
300006,9,7
300012,6,5
300013,3,3
300015,4,4
300017,2,2
300021,2,2
300022,3,3
300023,1,1
300024,2,2
300031,1,1
300032,1,1
300033,6,6
300034,3,3
300041,1,1
300042,7,6
300043,1,1
300051,1,1
300054,8,8
300056,1,1
300057,1,1
300058,5,5
300062,1,1
300063,1,1
300071,6,2
300073,1,1
300081,4,2
300083,3,2
300084,2,2
300085,1,1
300093,4,4
300101,8,6
300102,4,2
300103,2,2
300104,1,1
320001,22,17
320002,12,11
320003,15,9
320004,12,10
320005,22,14
320006,6,4
320007,1,1
320008,10,7
320009,16,12
320010,15,11
320011,14,9
320012,18,14
320013,20,10
320014,21,14
320015,5,5
320016,21,9
320017,11,9
320018,4,2
320019,13,9
320020,14,12
320021,10,8
320022,11,10
320088,20,10
324011,1,1
324014,2,2
324015,1,1
324021,6,5
324033,2,2
324042,1,1
324043,1,1
324044,3,3
324045,5,4
324051,1,1
324053,1,1
324054,2,2
324055,1,1
324061,2,2
324072,2,2
324081,1,1
324082,1,1
324083,1,1
324084,2,2
332003,44,17
332006,110,26
332007,110,24
332009,28,14
340001,21,16
340002,17,13
340003,11,10
340004,12,11
340005,27,18
340006,21,15
340007,21,13
340008,23,18
340009,14,11
340010,12,10
340011,3,2
340012,9,9
340013,9,8
340014,8,7
340015,7,7
340016,18,10
340017,18,15
340018,22,18
356001,87,32
356002,61,28
356003,38,27
356004,2,2
356006,34,18
356007,29,21
356008,91,32
356009,283,41
356010,234,40
356011,13,10
356012,24,18
356013,13,6
356014,30,11
356015,7,6
356016,15,12
356017,12,9
356018,235,41
356019,101,37
356021,154,39
356023,132,28
356024,136,37
356027,93,29
356028,229,43
356029,62,19
356030,7,5
356032,53,25
356033,100,26
356034,3,3
356035,3,3
360011,41,22
360012,56,27
360013,71,22
360014,28,19
360015,17,12
360016,22,17
360017,16,13
360018,12,12
360031,49,25
360032,198,42
360033,135,34
360034,40,23
360035,111,39
360051,14,12
360052,44,18
360053,23,12
360061,13,7
360062,3,3
360063,8,5
360064,9,7
360071,41,17
360072,25,11
360073,45,21
360074,10,9
360081,15,11
360094,48,20
360626,46,5
364000,3,3
364001,16,11
364002,23,19
364003,19,8
364004,6,5
364005,13,7
364006,19,13
364007,30,21
364008,24,18
364009,24,17
364010,14,14
364011,18,10
364012,6,6
364013,6,5
364014,10,8
364015,14,10
364016,9,8
364017,16,10
364018,13,9
364019,8,7
364020,8,8
364021,9,7
364022,13,10
364023,18,10
364024,9,7
364025,2,1
364026,12,12
364027,16,11
364028,14,13
364029,18,13
368011,2,2
368012,2,2
368013,4,2
368014,2,2
368015,10,7
368021,2,2
368023,3,3
368024,1,1
368026,1,1
368027,1,1
368031,1,1
368033,2,2
368034,1,1
368035,1,1
372001,4,4
372002,1,1
372003,9,5
372004,11,5
372006,3,2
372008,6,4
376001,5,4
376002,1,1
376003,4,4
376004,1,1
376005,5,4
376006,3,3
376072,19,5
380001,31,16
380003,30,17
380004,13,10
380005,26,17
380006,17,12
380007,8,8
380008,38,14
380009,25,18
380010,14,10
380012,17,11
380013,21,8
380014,6,6
380015,22,15
380016,8,7
380017,10,10
380018,14,11
